"id","date","samp_period","series","batch","incb_temp","log.temp","log.prior_temp","orig_lizmass","log.mass","z.log.mass","orig_co2_pmin","log.co2pmin","log.temp_22cen","log.temp_24cen","log.temp_26cen","log.temp_28cen","log.temp_30cen","log.temp_32cen"
"ld0020","27/12/2016",1,"ld0020_1",1,32,3.46573590279973,3.09104245335832,1.228,0.205386829724951,0.345534456027045,0.013734303,-4.28785870699119,0.374694,0.287682,0.207639,0.133531,0.064539,0
"ld0042","27/12/2016",1,"ld0042_1",1,32,3.46573590279973,3.09104245335832,1.433,0.359770148846035,1.68522518597096,0.015464374,-4.16921635216422,0.374694,0.287682,0.207639,0.133531,0.064539,0
"ld0051","27/12/2016",1,"ld0051_1",1,32,3.46573590279973,3.09104245335832,1.336,0.289680075114454,1.07700518802132,0.018021143,-4.01620959929076,0.374694,0.287682,0.207639,0.133531,0.064539,0
"ld0133","27/12/2016",1,"ld0133_1",1,32,3.46573590279973,3.09104245335832,1.112,0.106160195828391,-0.515523606149344,0.013646981,-4.29423695397451,0.374694,0.287682,0.207639,0.133531,0.064539,0
"ld0140","27/12/2016",1,"ld0140_1",1,32,3.46573590279973,3.09104245335832,1.119,0.112435429329788,-0.461069069234886,0.014165175,-4.25696879138134,0.374694,0.287682,0.207639,0.133531,0.064539,0
"ld0146","27/12/2016",1,"ld0146_1",1,32,3.46573590279973,3.09104245335832,1.237,0.212689093410351,0.408901243466458,0.012036501,-4.41981149595601,0.374694,0.287682,0.207639,0.133531,0.064539,0
"ld0150","27/12/2016",1,"ld0150_1",1,32,3.46573590279973,3.09104245335832,1.36,0.307484699747961,1.23150821793048,0.008682442,-4.74645245347201,0.374694,0.287682,0.207639,0.133531,0.064539,0
"ld0154","27/12/2016",1,"ld0154_1",1,32,3.46573590279973,3.09104245335832,1.229,0.206200830583898,0.352598103907569,0.013896891,-4.2760901329279,0.374694,0.287682,0.207639,0.133531,0.064539,0
"ld0170","27/12/2016",1,"ld0170_1",1,32,3.46573590279973,3.09104245335832,1.116,0.109750863959119,-0.484364897835337,0.010723655,-4.5353032299577,0.374694,0.287682,0.207639,0.133531,0.064539,0
"ld0020","28/12/2016",1,"ld0020_1",1,26,3.25809653802148,3.3322045101752,1.154,0.143234168085908,-0.193807132903691,0.004474647,-5.40932781304828,0.167055,0.080043,0,-0.074108,-0.1431,-0.207639
"ld0042","28/12/2016",1,"ld0042_1",1,26,3.25809653802148,3.3322045101752,1.456,0.375692949774494,1.82339833136025,0.006434015,-5.04615651880339,0.167055,0.080043,0,-0.074108,-0.1431,-0.207639
"ld0051","28/12/2016",1,"ld0051_1",1,26,3.25809653802148,3.29583686600433,1.355,0.303801454331664,1.19954615254406,0.007883418,-4.84299371281226,0.167055,0.080043,0,-0.074108,-0.1431,-0.207639
"ld0118","28/12/2016",1,"ld0118_1",1,26,3.25809653802148,3.36729582998647,1.395,0.332894415273329,1.45200587618557,0.004204708,-5.47155042910987,0.167055,0.080043,0,-0.074108,-0.1431,-0.207639
"ld0133","28/12/2016",1,"ld0133_1",1,26,3.25809653802148,3.15700042115011,1.107,0.1016536537265,-0.554629985726985,0.00435669,-5.43604268425187,0.167055,0.080043,0,-0.074108,-0.1431,-0.207639
"ld0140","28/12/2016",1,"ld0140_1",1,26,3.25809653802148,3.29583686600433,1.082,0.0788111804242898,-0.752849909396075,0.006419962,-5.0483430803009,0.167055,0.080043,0,-0.074108,-0.1431,-0.207639
"ld0146","28/12/2016",1,"ld0146_1",1,26,3.25809653802148,3.36729582998647,1.226,0.20375683751402,0.331389887382602,0.005517141,-5.19989548765029,0.167055,0.080043,0,-0.074108,-0.1431,-0.207639
"ld0150","28/12/2016",1,"ld0150_1",1,26,3.25809653802148,3.38439026334577,1.331,0.285930539412975,1.04446787602762,0.004588979,-5.38409771974029,0.167055,0.080043,0,-0.074108,-0.1431,-0.207639
"ld0154","28/12/2016",1,"ld0154_1",1,26,3.25809653802148,3.29583686600433,1.193,0.176471143115779,0.0946130642548687,0.004417906,-5.42208945080631,0.167055,0.080043,0,-0.074108,-0.1431,-0.207639
