"id","samp_period","series","series_rep","rep_id","log.co2pmin_22","log.co2pmin_26","log.co2pmin_28","log.co2pmin_24","log.co2pmin_32","log.co2pmin_30","z.log.mass_22","z.log.mass_26","z.log.mass_28","z.log.mass_24","z.log.mass_32","z.log.mass_30","prior_temp_22","prior_temp_26","prior_temp_28","prior_temp_24","prior_temp_32","prior_temp_30"
"ld0002",1,"ld0002_1","ld0002_1_c_co2_samp_1","c_co2_samp_1",-4.641049708,NA,-4.146779202,-4.414439702,-3.881843742,-3.748575114,-0.88651104678374,-0.643191146239097,-0.707419616093653,-0.643191146239097,-0.88651104678374,-0.707419616093653,32,20,30,26,24.5,30
"ld0002",1,"ld0002_1","ld0002_1_c_co2_samp_2","c_co2_samp_2",NA,NA,-4.000210479,-4.028547782,-4.08436865,-3.679829246,-0.88651104678374,-0.643191146239097,-0.707419616093653,-0.643191146239097,-0.88651104678374,-0.707419616093653,32,20,30,26,24.5,30
"ld0002",10,"ld0002_10","ld0002_10_c_co2_samp_1","c_co2_samp_1",-3.714675006,-3.917597259,-3.752880279,-3.827516637,-3.148467161,-3.057131297,-1.12831265419643,-1.1367706553506,-1.11986279748373,-1.1367706553506,-1.11986279748373,-1.12831265419643,30,22,32,26,22,22
"ld0002",10,"ld0002_10","ld0002_10_c_co2_samp_2","c_co2_samp_2",-4.054506747,-3.970447551,-3.541073715,-3.966692879,-3.174118326,-3.095169963,-1.12831265419643,-1.1367706553506,-1.11986279748373,-1.1367706553506,-1.11986279748373,-1.12831265419643,30,22,32,26,22,22
"ld0002",2,"ld0002_2","ld0002_2_c_co2_samp_1","c_co2_samp_1",-3.923214117,NA,-3.807220732,-3.773310277,NA,NA,-0.414226209135683,-0.39865357768749,-0.39865357768749,-0.579429372385288,-0.579429372385288,-0.414226209135683,30,22.5,26,32,23.6,25.4
"ld0002",2,"ld0002_2","ld0002_2_c_co2_samp_2","c_co2_samp_2",-4.054464291,-3.082931398,-3.585437037,-3.982077407,NA,NA,-0.414226209135683,-0.39865357768749,-0.39865357768749,-0.579429372385288,-0.579429372385288,-0.414226209135683,30,22.5,26,32,23.6,25.4
"ld0002",3,"ld0002_3","ld0002_3_c_co2_samp_1","c_co2_samp_1",-3.672352752,-5.170382187,NA,-3.630132338,-2.484842028,-3.205773676,-1.08614450232573,-1.49076080265109,-1.38566762417794,-1.08614450232573,-1.49076080265109,-1.38566762417794,27,32,26,22,26,28
"ld0002",3,"ld0002_3","ld0002_3_c_co2_samp_2","c_co2_samp_2",-3.574487894,-4.268601895,NA,-3.771262426,-2.591777133,-3.042320485,-1.08614450232573,-1.49076080265109,-1.38566762417794,-1.08614450232573,-1.49076080265109,-1.38566762417794,27,32,26,22,26,28
"ld0002",4,"ld0002_4","ld0002_4_c_co2_samp_1","c_co2_samp_1",-3.413739185,-3.114467375,-3.202319202,-3.256566477,-2.786798947,-3.018442747,-0.911218267755655,-0.911218267755655,-0.944269815371845,-0.707419616093653,-0.707419616093653,-0.944269815371845,26,26.5,25.5,32,28.5,28
"ld0002",4,"ld0002_4","ld0002_4_c_co2_samp_2","c_co2_samp_2",-3.541108159,-3.095946103,-3.383226778,-3.33506665,-2.929193554,-3.322199629,-0.911218267755655,-0.911218267755655,-0.944269815371845,-0.707419616093653,-0.707419616093653,-0.944269815371845,26,26.5,25.5,32,28.5,28
"ld0002",5,"ld0002_5","ld0002_5_c_co2_samp_1","c_co2_samp_1",-5.002057769,-3.709962218,-2.784524977,-3.310945379,-2.730252712,-2.82257099,-0.531910255263733,-0.531910255263733,-0.414226209135683,-0.414226209135683,-0.221526864633328,-0.221526864633328,23.5,22,24,24,30,23
"ld0002",5,"ld0002_5","ld0002_5_c_co2_samp_2","c_co2_samp_2",-4.954621583,-3.19967809,-2.883275952,NA,-2.84685011,-2.97738611,-0.531910255263733,-0.531910255263733,-0.414226209135683,-0.414226209135683,-0.221526864633328,-0.221526864633328,23.5,22,24,24,30,23
"ld0002",6,"ld0002_6","ld0002_6_c_co2_samp_1","c_co2_samp_1",NA,-3.428820033,-3.501374454,-3.565816136,-2.380604629,-2.356832364,-0.707419616093653,-0.764007770396114,-0.764007770396114,-0.707419616093653,-0.414226209135683,-0.414226209135683,24.5,28,24.5,22,24.5,32
"ld0002",6,"ld0002_6","ld0002_6_c_co2_samp_2","c_co2_samp_2",NA,-3.138522899,NA,-3.369667711,-2.47395098,-3.429346782,-0.707419616093653,-0.764007770396114,-0.764007770396114,-0.707419616093653,-0.414226209135683,-0.414226209135683,24.5,28,24.5,22,24.5,32
