"id","samp_period","incb_temp","series","log.temp","z.log.mass","log.co2pmin","z.log.co2pmin","log.prior_temp1","log.prior_temp2","log.temp_22cen","log.temp_24cen","log.temp_26cen","log.temp_28cen","log.temp_30cen","log.temp_32cen"
"ld0020",1,22,"ld0020_1",3.09104245335832,2.84018375959353,-4.88736162625307,0.574434834274406,NA,NA,0,-0.087012,-0.167055,-0.241163,-0.310155,-0.374694
"ld0042",1,22,"ld0042_1",3.09104245335832,1.83531005724173,-4.48721800908134,1.36043888549719,NA,NA,0,-0.087012,-0.167055,-0.241163,-0.310155,-0.374694
"ld0051",1,22,"ld0051_1",3.09104245335832,1.1610356265789,-4.39453615345672,1.54249430477564,NA,NA,0,-0.087012,-0.167055,-0.241163,-0.310155,-0.374694
"ld0118",1,22,"ld0118_1",3.09104245335832,NA,NA,NA,NA,NA,0,-0.087012,-0.167055,-0.241163,-0.310155,-0.374694
"ld0133",1,22,"ld0133_1",3.09104245335832,-0.239042809320918,-5.12641473204574,0.104861657177387,NA,NA,0,-0.087012,-0.167055,-0.241163,-0.310155,-0.374694
"ld0140",1,22,"ld0140_1",3.09104245335832,-0.314963599297681,-5.15450069917032,0.0496922555048995,NA,NA,0,-0.087012,-0.167055,-0.241163,-0.310155,-0.374694
"ld0146",1,22,"ld0146_1",3.09104245335832,0.63053029730094,-5.43197356696073,-0.495349046738503,NA,NA,0,-0.087012,-0.167055,-0.241163,-0.310155,-0.374694
"ld0150",1,22,"ld0150_1",3.09104245335832,1.28240391187672,-4.62663103136826,1.08658920851058,NA,NA,0,-0.087012,-0.167055,-0.241163,-0.310155,-0.374694
"ld0154",1,22,"ld0154_1",3.09104245335832,0.589403722965308,-4.89849977568699,0.552556113229033,NA,NA,0,-0.087012,-0.167055,-0.241163,-0.310155,-0.374694
"ld0170",1,22,"ld0170_1",3.09104245335832,0.47877030805324,-4.65963798747991,1.02175348426322,NA,NA,0,-0.087012,-0.167055,-0.241163,-0.310155,-0.374694
