"id","samp_period","batch","incb_num","incb_temp_id","incb_temp","body_temp","defecate","series","obs","orig_lizmass","orig_co2_pmin","lizmass_nocombout","co2pm_nocombout","incb_temp_K","inverseK_incb_temp","body_temp_K","inverseK_body_temp","z.incb_temp","z.log.temp","z.body_temp","z.log.body_temp","log.mass","z.log.mass","log.co2pmin","z.log.co2pmin","z.prior_temp1","z.log.prior_temp1","z.prior_temp2","z.log.prior_temp2","prior_temp1_K","inverseK_prior_temp1","prior_temp2_K","inverseK_prior_temp2","inverseK_incb_temp_22cen","inverseK_incb_temp_24cen","inverseK_incb_temp_26cen","inverseK_incb_temp_28cen","inverseK_incb_temp_30cen","inverseK_incb_temp_32cen"
"ld0020",1,1,1,1,26,22,NA,"ld0020_1",313,1.154,0.004474647,1.154,0.004474647,299.15,-0.129200852515361,295.15,-0.306062469291236,-0.292711926830533,-0.231603986367692,-1.38298127320516,-1.44373684458074,0.143234168085908,-0.193807132903691,-5.40932781304828,-0.45086588230873,0.815343565468831,0.862967320328408,-0.445166719585535,-0.411342771589956,301.15,0.314836797835109,298.15,-0.122783429616416,-0.5255583,-0.2610105,0,0.2575437,0.5116891,0.7625031
"ld0042",1,1,1,1,26,23,NA,"ld0042_1",436,1.456,0.006434015,1.456,0.006434015,299.15,-0.129200852515361,296.15,-0.173341908019171,-0.292711926830533,-0.231603986367692,-0.785920729116728,-0.787458672113003,0.375692949774494,1.82339833136025,-5.04615651880339,0.26251325536672,0.815343565468831,0.862967320328408,-0.445166719585535,-0.411342771589956,301.15,0.314836797835109,298.15,-0.122783429616416,-0.5255583,-0.2610105,0,0.2575437,0.5116891,0.7625031
"ld0051",1,1,1,1,26,22,NA,"ld0051_1",632,1.355,0.007883418,1.355,0.007883418,299.15,-0.129200852515361,295.15,-0.306062469291236,-0.292711926830533,-0.231603986367692,-1.38298127320516,-1.44373684458074,0.303801454331664,1.19954615254406,-4.84299371281226,0.661586942198232,0.481366091616486,0.542011636206725,-0.445166719585535,-0.411342771589956,300.15,0.186493995145512,298.15,-0.122783429616416,-0.5255583,-0.2610105,0,0.2575437,0.5116891,0.7625031
"ld0118",1,1,1,1,26,23,1,"ld0118_1",1549,1.395,0.004204708,1.395,0.004204708,299.15,-0.129200852515361,296.15,-0.173341908019171,-0.292711926830533,-0.231603986367692,-0.785920729116728,-0.787458672113003,0.332894415273329,1.45200587618557,-5.47155042910987,-0.573090069333804,1.14932103932118,1.17265904805871,-0.445166719585535,-0.411342771589956,302.15,0.442330070141192,298.15,-0.122783429616416,-0.5255583,-0.2610105,0,0.2575437,0.5116891,0.7625031
"ld0133",1,1,1,1,26,21.5,1,"ld0133_1",1711,1.107,0.00435669,1.107,0.00435669,299.15,-0.129200852515361,294.65,-0.372760575893512,-0.292711926830533,-0.231603986367692,-1.68151154524938,-1.7831501351646,0.1016536537265,-0.554629985726985,-5.43604268425187,-0.503342033602433,-0.68755506686672,-0.683262839363888,-0.445166719585535,-0.411342771589956,296.65,-0.269519902056238,298.15,-0.122783429616416,-0.5255583,-0.2610105,0,0.2575437,0.5116891,0.7625031
"ld0140",1,1,1,1,26,22,NA,"ld0140_1",1897,1.082,0.006419962,1.082,0.006419962,299.15,-0.129200852515361,295.15,-0.306062469291236,-0.292711926830533,-0.231603986367692,-1.38298127320516,-1.44373684458074,0.0788111804242898,-0.752849909396075,-5.0483430803009,0.258218181994228,0.481366091616486,0.542011636206725,-0.445166719585535,-0.411342771589956,300.15,0.186493995145512,298.15,-0.122783429616416,-0.5255583,-0.2610105,0,0.2575437,0.5116891,0.7625031
"ld0146",1,1,1,1,26,22,1,"ld0146_1",2080,1.226,0.005517141,1.226,0.005517141,299.15,-0.129200852515361,295.15,-0.306062469291236,-0.292711926830533,-0.231603986367692,-1.38298127320516,-1.44373684458074,0.20375683751402,0.331389887382602,-5.19989548765029,-0.0394769480472047,1.14932103932118,1.17265904805871,-0.445166719585535,-0.411342771589956,302.15,0.442330070141192,298.15,-0.122783429616416,-0.5255583,-0.2610105,0,0.2575437,0.5116891,0.7625031
"ld0150",1,1,1,1,26,22.5,NA,"ld0150_1",2147,1.331,0.004588979,1.331,0.004588979,299.15,-0.129200852515361,295.65,-0.239589960884807,-0.292711926830533,-0.231603986367692,-1.08445100116094,-1.11195146834919,0.285930539412975,1.04446787602762,-5.38409771974029,-0.401306287448822,1.31630977624735,1.32352269838833,-0.445166719585535,-0.411342771589956,302.65,0.505760763937615,298.15,-0.122783429616416,-0.5255583,-0.2610105,0,0.2575437,0.5116891,0.7625031
"ld0154",1,1,1,1,26,22,NA,"ld0154_1",2254,1.193,0.004417906,1.193,0.004417906,299.15,-0.129200852515361,295.15,-0.306062469291236,-0.292711926830533,-0.231603986367692,-1.38298127320516,-1.44373684458074,0.176471143115779,0.0946130642548687,-5.42208945080631,-0.475933629356506,0.481366091616486,0.542011636206725,-0.445166719585535,-0.411342771589956,300.15,0.186493995145512,298.15,-0.122783429616416,-0.5255583,-0.2610105,0,0.2575437,0.5116891,0.7625031
"ld0170",1,1,1,1,26,21.5,NA,"ld0170_1",2361,1.123,0.003794743,1.123,0.003794743,299.15,-0.129200852515361,294.65,-0.372760575893512,-0.292711926830533,-0.231603986367692,-1.68151154524938,-1.7831501351646,0.116003675756306,-0.430104929540413,-5.5741385911128,-0.774604494358852,0.982332302395003,1.01917155093272,-0.445166719585535,-0.411342771589956,301.65,0.378689097233887,298.15,-0.122783429616416,-0.5255583,-0.2610105,0,0.2575437,0.5116891,0.7625031
"ld0020",1,1,1,2,28,NA,NA,"ld0020_1",350,1.637,0.010230272,1.637,0.010230272,301.15,0.128342802689596,NA,NA,0.292711926830533,0.347756949468565,NA,NA,0.492865298388998,2.84018375959353,-4.58240411090677,1.17346436324014,2.15125346087821,2.04142307264925,-0.445166719585535,-0.411342771589956,305.15,0.819796224048868,298.15,-0.122783429616416,-0.783102,-0.5185542,-0.2575437,0,0.2541454,0.5049594
"ld0042",1,1,1,2,28,NA,NA,"ld0042_1",422,1.458,0.013883567,1.458,0.013883567,301.15,0.128342802689596,NA,NA,0.292711926830533,0.347756949468565,NA,NA,0.377065633586466,1.83531005724173,-4.27704936844674,1.77327416735522,2.15125346087821,2.04142307264925,-0.445166719585535,-0.411342771589956,305.15,0.819796224048868,298.15,-0.122783429616416,-0.783102,-0.5185542,-0.2575437,0,0.2541454,0.5049594
"ld0051",1,1,1,2,28,NA,NA,"ld0051_1",622,1.349,0.016853558,1.349,0.016853558,301.15,0.128342802689596,NA,NA,0.292711926830533,0.347756949468565,NA,NA,0.299363577225619,1.1610356265789,-4.0831934872043,2.15406621668717,2.15125346087821,2.04142307264925,-0.445166719585535,-0.411342771589956,305.15,0.819796224048868,298.15,-0.122783429616416,-0.783102,-0.5185542,-0.2575437,0,0.2541454,0.5049594
"ld0133",1,1,1,2,28,NA,NA,"ld0133_1",1685,1.148,0.012679712,1.148,0.012679712,301.15,0.128342802689596,NA,NA,0.292711926830533,0.347756949468565,NA,NA,0.138021297897375,-0.239042809320918,-4.36775204316475,1.59510646274704,2.15125346087821,2.04142307264925,-0.445166719585535,-0.411342771589956,305.15,0.819796224048868,298.15,-0.122783429616416,-0.783102,-0.5185542,-0.2575437,0,0.2541454,0.5049594
"ld0140",1,1,1,2,28,NA,NA,"ld0140_1",1886,1.138,0.008482439,1.138,0.008482439,301.15,0.128342802689596,NA,NA,0.292711926830533,0.347756949468565,NA,NA,0.129272335704139,-0.314963599297681,-4.7697572526079,0.805445676781361,2.15125346087821,2.04142307264925,-0.445166719585535,-0.411342771589956,305.15,0.819796224048868,298.15,-0.122783429616416,-0.783102,-0.5185542,-0.2575437,0,0.2541454,0.5049594
"ld0146",1,1,1,2,28,NA,NA,"ld0146_1",2047,1.269,0.011321134,1.269,0.011321134,301.15,0.128342802689596,NA,NA,0.292711926830533,0.347756949468565,NA,NA,0.238229188732251,0.63053029730094,-4.481084034546,1.37248788147756,2.15125346087821,2.04142307264925,-0.445166719585535,-0.411342771589956,305.15,0.819796224048868,298.15,-0.122783429616416,-0.783102,-0.5185542,-0.2575437,0,0.2541454,0.5049594
"ld0150",1,1,1,2,28,NA,NA,"ld0150_1",2120,1.368,0.007118909,1.368,0.007118909,301.15,0.128342802689596,NA,NA,0.292711926830533,0.347756949468565,NA,NA,0.313349819200359,1.28240391187672,-4.9450007956363,0.461213933827336,2.15125346087821,2.04142307264925,-0.445166719585535,-0.411342771589956,305.15,0.819796224048868,298.15,-0.122783429616416,-0.783102,-0.5185542,-0.2575437,0,0.2541454,0.5049594
