egg_id,egg_clutch_id,egg_tub_id,egg_laid_date,egg_incub_days,egg_incub_temp,egg_mass,egg_width,egg_length,egg_notes
egg0018,c0004,e001,31/10/2016,41,23,0.198,5.89,10.66, incubator was faulty and egg was sitting at mean temperature of 28.125¼C till 1/11/16
egg0020,c0004,e001,31/10/2016,41,23,0.131,5.68,8.32, incubator was faulty and egg was sitting at mean temperature of 28.125¼C till 1/11/16
egg0022,c0005,e013,31/10/2016,41,23,0.198,6.54,8.97, incubator was faulty and egg was sitting at mean temperature of 28.125¼C till 1/11/16
egg0025,c0006,e027,01/11/2016,40,23,0.202,6.11,9.6, incubator was faulty and egg was sitting at mean temperature of 28.125¼C till 1/11/16
egg0026,c0006,e027,01/11/2016,40,23,0.14,6.1,8.93, incubator was faulty and egg was sitting at mean temperature of 28.125¼C till 1/11/16
egg0029,c0007,e055,10/11/2016,31,23,0.127,5.14,8.62,
egg0030,c0008,e057,15/11/2016,26,23,0.125,5.15,8.19,
egg0031,c0008,e057,15/11/2016,26,23,0.129,5.19,8.86,
egg0034,c0009,e055,15/11/2016,26,23,0.125,5.22,8.72,
egg0036,c0010,e024,15/11/2016,26,23,0.121,4.94,8.35,pinkish on one side (see picture)
egg0038,c0010,e024,15/11/2016,26,23,0.108,5,8.61,pinkish on one side (see picture)
egg0041,c0011,e050,15/11/2016,26,23,0.105,4.83,8.48,
egg0044,c0012,e059,16/11/2016,25,23,0.128,5.1,9.16,
egg0046,c0013,e021,18/11/2016,23,23,0.123,5.01,8.27,
egg0048,c0014,e058,18/11/2016,23,23,0.126,5.47,8.34,"has spot, see picture"
egg0049,c0014,e058,18/11/2016,23,23,0.123,5.85,8.05,
egg0054,c0015,e031,18/11/2016,23,23,0.141,5.36,9.19,
egg0055,c0015,e031,18/11/2016,23,23,0.137,5.66,8.26,
egg0056,c0016,e049,18/11/2016,23,23,0.122,5,9.11,
egg0058,c0016,e049,18/11/2016,23,23,0.222,5.15,9.4,
egg0060,c0018,e061,20/11/2016,21,23,0.106,4.85,7.58,
egg0065,c0019,e059,20/11/2016,21,23,0.125,5.11,8.68,eggs was quite stuck to egg65
egg0067,c0020,e058,20/11/2016,21,23,0.095,4.6,7.62,
egg0068,c0020,e058,20/11/2016,21,23,0.106,5.23,7.88,
egg0069,c0020,e058,20/11/2016,21,23,0.118,5.13,7.67,
egg0073,c0021,e062,21/11/2016,20,23,0.128,5.43,8.05,
egg0075,c0021,e062,21/11/2016,20,23,0.13,5.4,8.64,
egg0077,c0022,e050,22/11/2016,19,23,0.158,5.72,9.28,
egg0078,c0022,e050,22/11/2016,19,23,0.16,5.72,9.39,
egg0080,c0023,e025,22/11/2016,19,23,0.174,6.28,8.38,egg rolled over
egg0081,c0023,e025,22/11/2016,19,23,0.176,6.22,8.96,
egg0084,c0024,e017,22/11/2016,19,23,0.118,4.93,8.52,
egg0085,c0024,e017,22/11/2016,19,23,0.121,4.74,9.1,egg has dent (see picture)
egg0088,c0025,e058,23/11/2016,18,23,0.24,4.64,8.65,Egg 88 stuck to 89 (weight of both eggs together recorded)
egg0089,c0025,e058,23/11/2016,18,23,0.24,4.46,8.81,"dented (see picture), pencil mark"
egg0091,c0026,e056,23/11/2016,18,23,0.103,4.84,8.14,
egg0094,c0027,e051,24/11/2016,17,23,0.94,4.81,7.5,
egg0095,c0027,e051,24/11/2016,17,23,0.111,5.12,8.06,
egg0098,c0028,e051,24/11/2016,17,23,0.186,6.54,8.26,clutch found late
