period,batch,chamber,id,tc,incubator,encl_id
1,1,1,ld0051,tc0140,1,e003
1,1,2,ld0042,tc0103,1,e022
1,1,3,ld0170,tc0415,1,e052
1,1,4,ld0133,tc0314,1,e015
1,1,5,ld0146,tc0340,1,e013
1,1,6,ld0020,tc0032,1,e014
1,1,7,ld0154,tc02(A)0,1,e040
1,1,8,ld0118,tc0251,1,e042
1,1,9,ld0150,tc0344,1,e017
1,1,10,ld0140,tc0325,1,e021
1,1,11,ld0011,tc0015,2,e029
1,1,12,ld0018,tc0A30,2,e011
1,1,13,ld0105,tc0230,2,e048
1,1,14,ld0002,tc0002,2,e005
1,1,15,ld0095,tc0214,2,e043
1,1,16,ld0088,tc0203,2,e041
1,1,17,ld0142,tc0331,2,e007
1,1,18,ld0049,tc01(12)0,2,e033
1,1,19,ld0027,tc0043,2,e038
1,1,20,ld0155,tc1342,2,e008
1,1,21,ld0089,tc0204,2,e023
1,2,1,ld0175,tc0234,1,e013
1,2,2,ld0104,tc0225,1,e027
1,2,3,ld0043,tc0104,1,e028
1,2,4,ld0076,tc0150,1,e025
1,2,5,ld0128,tc0305,1,e034
1,2,6,ld0138,tc0323,1,e020
1,2,7,ld0171,tc0311,1,e053
1,2,8,ld0111,tc0242,1,e026
1,2,9,ld0119,tc0252,1,e018
1,2,10,ld0092,tc0212,1,e009
1,2,11,ld0077,tc0151,2,e032
1,2,12,ld0013,tc0021,2,e044
1,2,13,ld0075,tc0145,2,e002
1,2,14,ld0006,tc0010,2,e031
1,2,15,ld0143,tc0333,2,e046
1,2,16,ld0069,tc0142,2,e024
1,2,17,ld0137,tc0322,2,e001
1,2,18,ld0065,tc0134,2,e036
1,2,19,ld0153,tc0350,2,e049
1,2,20,ld0107,tc0232,2,e045
1,2,21,ld0115,tc0244,2,e041
2,1,1,ld0155,tc1342,1,e008
2,1,2,ld0089,tc0204,1,e023
2,1,3,ld0133,tc0314,1,e015
2,1,4,ld0095,tc0214,1,e043
2,1,5,ld0042,tc0103,1,e022
2,1,6,ld0140,tc0325,1,e021
2,1,7,ld0170,tc0415,1,e052
2,1,8,ld0154,tc02(A)0,1,e040
2,1,9,ld0049,tc01(12)0,1,e033
2,1,10,ld0018,tc0A30,1,e011
2,1,11,ld0142,tc0331,2,e007
2,1,12,ld0027,tc0043,2,e038
2,1,13,ld0020,tc0032,2,e014
2,1,14,ld0146,tc0340,2,e013
2,1,15,ld0051,tc0140,2,e003
2,1,16,ld0002,tc0002,2,e005
2,1,17,ld0088,tc0203,2,e041
2,1,18,ld0105,tc0230,2,e048
2,1,19,ld0118,tc0251,2,e042
2,1,20,ld0150,tc0344,2,e017
2,1,21,ld0011,tc0015,2,e029
2,2,1,ld0175,tc0234,1,e013
